manufacturer;name;category;subcategory;kgCO2eq (total);use (%);Yearly TEC (kWh);Lifetime;Use Location;date;sources;error (%);Manufacturing;Weight;Assembly Location;Screen size;Server Type;HDD/SSD;RAM;CPU;U;;;;;;;;;;;;;;
Dell;Dell OptiPlex 5060 Tower;Workplace;Desktop;501;51,00%;120,35;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5060-tower.pdf;17,37%;43,00%;6,5;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 7050 Micro Form Factor;Workplace;Desktop;258;35,60%;42,27;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7050-mff.pdf;21,71%;59,50%;2,82;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 7050 Small Form Factor;Workplace;Desktop;416;46,00%;90,2;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7050-sff.pdf;17,55%;48,00%;6,3;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 7050 Tower;Workplace;Desktop;491;51,00%;117,35;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7050-tower.pdf;16,90%;43,00%;6,5;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 7060 Micro Form Factor;Workplace;Desktop;245;31,70%;35,6;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7060-mff.pdf;22,45%;63,00%;2,82;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 7060 Small Form Factor ;Workplace;Desktop;398;44,70%;82,76;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7060-sff.pdf;18,09%;49,10%;5,24;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex 7060 Tower;Workplace;Desktop;485;49,00%;117,72;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7060-tower.pdf;17,32%;45,00%;6,5;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex XE2 Mini Tower;Workplace;Desktop;594;54,20%;151,07;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-XE2-mini-tower.pdf;16,67%;39,60%;9,4;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex XE2 Small Form Factor;Workplace;Desktop;537;53,80%;151,07;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-xe2-sff.pdf;17,13%;41,40%;6;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex XE3 Small Form Factor;Workplace;Desktop;451;46,00%;96,9;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-xe3-sff.pdf;19,29%;48,90%;5,24;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell OptiPlex XE3 Tower;Workplace;Desktop;509;50,80%;121,18;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-XE3-tower.pdf;18,27%;43,60%;6,5;EU;;;;;;;;;;;;;;;;;;;;
Dell;Dell Latitude 3150;Workplace;Laptop;216;17,60%;17,98;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3150.pdf;19,91%;77,00%;1,45;China;11;;;;;;;;;;;;;;;;;;;
Dell;Dell Latitude 3160;Workplace;Laptop;244;27,60%;31,87;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3160.pdf;18,03%;67,70%;1,45;China;11;;;;;;;;;;;;;;;;;;;
Dell;Dell Latitude 3180;Workplace;Laptop;243;10,40%;14,69;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3180.pdf;18,11%;85,90%;1,35;China;11;;;;;;;;;;;;;;;;;;;
Dell;Dell Latitude 3189;Workplace;Laptop;257;12,10%;14,7;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3189.pdf;17,51%;83,00%;1,65;China;11;;;;;;;;;;;;;;;;;;;
Dell;Dell Latitude 3190;Workplace;Laptop;226;11,50%;13,87;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3190.pdf;19,47%;83,60%;1,65;China;11;;;;;;;;;;;;;;;;;;;
Dell;Dell Latitude 3190 2-In-1;Workplace;Laptop;230;12,90%;15,79;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3190-2.pdf;19,13%;82,30%;1,65;China;11;;;;;;;;;;;;;;;;;;;
Dell;Dell Latitude 3350;Workplace;Laptop;258;18,50%;22,54;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3350.pdf;19,38%;76,50%;1,67;China;13;;;;;;;;;;;;;;;;;;;
