manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio
HP,HP ProDesk 405 G6 DM,Workplace,Workstation,415.0,,40.32,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524608.pdf,0.241,,2.39,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProBook 635 Aero G7 Notebook PC,Workplace,Laptop,350.0,,20.09,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525038.pdf,0.1714,,1.46,China,13.3,,,,,,2022-09-15,HP Auto Parser,,
HP,HP mt32 Mobile Thin Client,Workplace,Monitor,350.0,,20.09,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525040.pdf,0.1714,,1.46,China,13.3,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProBook 430 G8,Workplace,Laptop,315.0,,14.48,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525034.pdf,0.1746,,1.56,China,13.3,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProBook 440 G8,Workplace,Laptop,300.0,,12.59,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525037.pdf,0.1833,,1.63,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ZHAN 66 Pro 14 G4 Notebook PC,Workplace,Laptop,300.0,,12.59,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525035.pdf,0.1833,,1.63,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Chromebox G3,Workplace,Workstation,325.0,,22.37,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524586.pdf,0.2308,,0.93,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProBook 450 G8,Workplace,Laptop,325.0,,14.74,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525032.pdf,0.1846,,1.9,China,15.6,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteDesk 805 G6 SFF,Workplace,Workstation,635.0,,65.47,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524583.pdf,0.2677,,5.26,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProDesk 405 G6 SFF,Workplace,Workstation,615.0,,57.81,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524585.pdf,0.2439,,5.27,China,,,,,,,2022-09-15,HP Auto Parser,,
